ID,X,Y,Z
1,-3.848600,6.800790,-0.528770
2,-3.884310,6.010180,-0.559720
3,-3.923490,6.020150,-1.159770
4,-3.887540,6.819470,-1.130820
5,8.840190,5.929610,-1.892640
6,7.979450,5.911110,-1.871240
7,7.999990,6.510020,-1.840470
8,8.859940,6.520120,-1.862280
9,23.970060,8.381980,-1.749900
10,23.129009,8.408260,-1.751620
11,23.140209,8.376710,-1.139660
12,23.970039,8.351390,-1.149930
13,40.721588,7.738440,-2.899950
14,39.911221,7.738800,-2.856970
15,39.911190,7.148840,-2.887620
16,40.699509,7.150480,-2.929330
17,55.882729,6.450880,-2.340900
18,55.911240,5.661590,-2.391630
19,55.887829,5.688760,-2.958730
20,55.859169,6.469970,-2.919970
21,45.964001,-3.379530,-2.469670
22,45.941158,-4.160030,-2.470020
23,45.929379,-4.139690,-3.069780
24,45.952110,-3.369770,-3.059840
25,19.750469,-1.920660,-2.599120
26,18.930740,-1.911030,-2.562950
27,18.950090,-1.320120,-2.528030
28,19.760241,-1.340340,-2.564420
29,8.120030,-2.419090,-1.789960
30,7.360120,-2.396140,-1.769840
31,7.380610,-2.420530,-1.189200
32,8.150220,-2.442950,-1.229710
