ID,X,Y,Z
1,-1.115156,-8.855307,-0.192517
2,-0.517746,-8.338630,-0.189199
3,-0.518502,-8.338510,-0.784849
4,-1.114715,-8.857472,-0.784556
5,-9.154667,1.061525,-1.186027
6,-8.609317,0.485150,-1.187512
7,-9.035801,0.083824,-1.184469
8,-9.579864,0.655752,-1.187043
9,-21.169693,10.517663,-0.558315
10,-20.653509,9.923043,-0.569061
11,-20.645012,9.918581,0.022039
12,-21.165474,10.512213,0.033106
13,-32.078239,23.337164,-1.161391
14,-31.550810,22.753813,-1.158861
15,-31.112909,23.148983,-1.159659
16,-31.640585,23.733286,-1.168390
17,-41.493690,35.208561,-0.017347
18,-40.902546,35.731293,-0.007857
19,-40.899857,35.734135,-0.604287
20,-41.490730,35.212227,-0.607546
21,-27.436642,34.643902,-0.068019
22,-26.836845,35.161713,-0.061908
23,-26.836849,35.166454,-0.653536
24,-27.433790,34.650517,-0.664716
25,-10.711517,14.335529,-1.265585
26,-10.193112,13.739548,-1.265578
27,-10.636318,13.355709,-1.252625
28,-11.157293,13.950184,-1.252453
29,-2.547152,6.201827,-0.841689
30,-2.018707,5.611153,-0.838290
31,-2.017114,5.613872,-0.246099
32,-2.545050,6.205850,-0.249629
